vertex,score
533,3.674093350469486E-4
534,2.04738773526863E-4
535,8.2195117598213E-5
536,1.5990917150928607E-4
537,3.4615665437965287E-4
538,4.499278647551243E-4
539,1.9959252153756065E-4
540,1.5113443261594896E-4
541,1.267464694732617E-4
542,4.735382134997148E-4
543,2.2420740204258827E-4
544,1.646973030954379E-4
545,2.8392922984928786E-4
546,2.299160340622376E-4
547,3.6629034113878613E-4
548,1.231952632203316E-4
549,1.591370874164538E-4
550,1.0523599287182639E-4
551,2.5865398402441845E-4
552,5.454012543898338E-4
553,7.077833821665895E-4
554,1.3123222168126038E-4
555,2.4996733180352614E-4
556,2.647321060128041E-4
557,2.7733476739796176E-4
558,4.0519812315973773E-4
559,2.3623498636521828E-4
560,2.8863723274240343E-4
561,2.580918018559561E-4
562,9.490811702916172E-5
563,2.781596413329793E-4
564,2.461515190505262E-4
565,1.7437509985087198E-4
566,4.4366067580885204E-4
567,1.287123993241097E-4
568,3.820988050370842E-4
569,2.7497490215053357E-4
570,3.224301085557561E-4
571,5.494195716825595E-4
572,3.8090158743474267E-4
573,3.364312812501507E-4
574,1.086379363466216E-4
575,1.8642861822178468E-4
576,4.0226933048948687E-4
577,2.1688059452054474E-4
578,1.7903826759250942E-4
579,4.5714032768083486E-4
580,1.73449626055053E-4
581,2.3021255612088067E-4
582,2.2171670616865952E-4
583,2.101071149980469E-4
584,4.0219446635831436E-4
585,1.0526604242906182E-4
586,1.6986154449384838E-4
587,2.702790307756651E-4
588,4.1475572287528653E-4
589,5.796550802340295E-5
590,1.649405357677137E-4
591,2.5480799111539474E-4
592,1.4962054083712093E-4
593,1.7063448568788305E-4
594,1.1118257470516449E-4
595,2.404878108961566E-4
596,2.3637508949560205E-4
597,2.3046935480423473E-4
598,8.35005063450946E-5
599,2.9985589463417986E-4
600,2.4477959117862936E-4
601,1.9929480425737102E-4
602,3.170150984067984E-4
603,3.7500000000000003E-5
604,1.717952162890596E-4
605,2.4270533314046477E-4
606,2.2423026420201417E-4
607,3.286812231212652E-4
608,1.2205329831411422E-4
609,3.8067895478237503E-4
610,1.4548493414502428E-4
611,1.6724067351292217E-4
612,3.225206790197983E-4
613,1.2049281678754351E-4
614,1.9437314036793496E-4
615,2.1646857329567053E-4
616,2.903242243090503E-4
617,2.885438707257583E-4
618,1.0694334506820088E-4
619,2.1839482006676993E-4
620,4.0375508811232717E-4
621,4.5864118633265837E-4
622,4.1801556812183624E-4
623,1.8593981516463472E-4
624,1.8468858380967163E-4
625,2.251740117994203E-4
626,5.854440708046208E-4
627,2.8147113209980455E-4
628,2.6111397820331207E-4
629,2.444125111258805E-4
630,3.355684228279139E-4
631,2.50278779088799E-4
632,1.8262167581167474E-4
633,1.5827233729792163E-4
634,4.313552282425677E-4
635,3.9975651976680243E-4
636,1.359632262170361E-4
637,3.353438298632769E-4
638,1.617935580999536E-4
639,6.896609311499112E-5
640,1.956798777438832E-4
641,1.3276001854805127E-4
642,3.6489252527711E-4
643,1.380577794642614E-4
644,2.227708793109222E-4
645,2.9517232343301666E-4
646,2.2087076972532652E-4
647,1.8701370107434016E-4
648,4.924799782875086E-5
649,1.7968340428205573E-4
650,1.6781965816819078E-4
651,2.0619716051222247E-4
652,9.343298106030226E-5
653,3.905829646486674E-4
654,1.8009844016472082E-4
655,4.2275836921845797E-4
656,1.570809635573424E-4
657,3.627695845892162E-4
658,4.0590305738677073E-4
659,1.1931348531543752E-4
660,1.5061145800557968E-4
661,1.3486052496808072E-4
662,4.7571060626358936E-4
663,9.983303793415207E-5
664,2.2530458461411537E-4
665,2.516824518934819E-4
666,2.426608086656753E-4
667,2.0822896055302766E-4
668,1.9482054604746154E-4
669,1.9688500709316156E-4
670,5.205063248708929E-4
671,3.392934676496581E-4
672,1.9258045968081157E-4
673,7.571378180959266E-4
674,2.622438363992559E-4
675,1.7981923580259848E-4
676,1.9572441264644966E-4
677,9.930708533187991E-5
678,3.1321191649172245E-4
679,1.964282700098727E-4
680,2.3378580720042756E-4
681,2.62004708697763E-4
682,4.2974954058606446E-4
683,3.7500000000000003E-5
684,2.5874512538958403E-4
685,9.449027884808923E-5
686,2.5654996436501505E-4
687,1.220772892365111E-4
688,5.582485322903698E-4
689,3.891970921208445E-4
690,3.1836624545905374E-4
691,1.0117621440552881E-4
692,2.6013563471196966E-4
693,4.7103489719520474E-4
694,5.816089021533495E-4
695,2.531882239527269E-4
696,9.228982452426098E-5
697,2.162513844190723E-4
698,1.8091382848064568E-4
699,2.3039038686665733E-4
700,4.8084854060982375E-4
701,9.212781489482079E-5
702,1.264051138205338E-4
703,3.6968243443992287E-4
704,1.2922993890208807E-4
705,3.081960176331009E-4
706,1.1522902485990472E-4
707,1.0010722734108924E-4
708,1.2739800357544815E-4
709,2.067004365717156E-4
710,3.1376913327889284E-4
711,1.9954342739164968E-4
712,4.647497819704726E-4
713,4.111423204981432E-4
714,2.9339249240528485E-4
715,1.252493567535711E-4
716,2.386658355846271E-4
717,1.7030601374144337E-4
718,1.2150195872965835E-4
719,2.7542432075485326E-4
720,1.8922832136865624E-4
721,3.80961525582866E-4
722,3.7489681541060037E-4
723,1.8673916006110066E-4
724,5.583050905613436E-5
725,2.370173509131095E-4
726,2.4901596093715526E-4
727,5.876771996630129E-4
728,3.4344435481323173E-4
729,9.117579871277683E-5
730,3.1319115126580554E-4
731,1.1700430840546254E-4
732,7.569461682211016E-5
733,3.9284921704960574E-4
734,8.228388477281708E-5
735,1.8314743822481905E-4
736,1.741229733250643E-4
737,2.166151584238414E-4
738,2.3157876041634114E-4
739,3.151226200069765E-4
740,2.3342288750351784E-4
741,3.588061737118334E-4
742,3.870786590315305E-4
743,1.264482755538511E-4
744,1.8924446003273698E-4
745,1.1586266894433532E-4
746,1.7364035394168832E-4
747,3.7093341862018967E-4
748,3.284501002488973E-4
749,3.7500000000000003E-5
750,1.6336271677932547E-4
751,3.5925928423692426E-4
752,5.8644799399391114E-5
753,2.3961568778244036E-4
754,1.4498051425123216E-4
755,1.8808152161273927E-4
756,2.8429627783546033E-4
757,3.2562379518990875E-4
758,1.224511684222025E-4
759,2.0685847761039555E-4
760,2.607152923139976E-4
761,2.1606080045534915E-4
762,2.2571467118351243E-4
763,2.1384615295725533E-4
764,9.500942704684234E-5
765,1.5505020088140637E-4
766,1.739218432969473E-4
767,2.7135443543180006E-4
768,1.8782047089572254E-4
769,1.49758930243899E-4
770,1.0301428619984997E-4
771,1.8484407787893115E-4
772,1.433470797240322E-4
773,1.6800854403975068E-4
774,3.3969436752671276E-4
775,1.9678430490794127E-4
776,2.1174014833163807E-4
777,3.5669881890783967E-4
778,2.3542794139481857E-4
779,1.1494589894974813E-4
780,1.3840514286875594E-4
781,1.7853903507805533E-4
782,1.2988998494521111E-4
783,2.4149656308718648E-4
784,4.645232010984219E-4
785,3.21574978815922E-4
786,3.0420717414080813E-4
787,3.927018823668242E-4
788,3.1239251037082355E-4
789,3.966866268751647E-4
790,4.708562822096169E-5
791,1.9955695966556532E-4
792,4.086222783789663E-4
793,1.8795492381635143E-4
794,2.5210003951871296E-4
795,2.333672314216176E-4
796,3.3865206821533745E-4
797,2.984494742021363E-4
798,4.017486014520069E-4
799,4.1681233928972703E-4
800,1.971908699630169E-4
801,1.3336541243320188E-4
802,1.7839749742365495E-4
803,2.3501846451576708E-4
804,1.0720233245300186E-4
805,1.1370317375265441E-4
806,2.494359689344897E-4
807,4.2161688392734027E-4
808,2.852902295710824E-4
809,2.8398850371779593E-4
810,7.076907692513983E-5
811,3.2369003325699775E-4
812,2.0065038030856743E-4
813,1.3981144844403217E-4
814,2.391229184529899E-4
815,5.22541139410707E-4
816,2.47842330063651E-4
817,3.889546661737482E-4
818,1.343948695815464E-4
819,2.782326588851976E-4
820,2.3993352140720805E-4
821,2.812065492731007E-4
822,4.789411508763613E-4
823,2.177205906394415E-4
824,4.131324887402569E-4
825,2.491382403534277E-4
826,1.2708902750004726E-4
827,2.2687776845410108E-4
828,2.2158918794815954E-4
829,7.588360642257292E-5
830,2.3561657696964905E-4
831,3.257060762016099E-4
832,8.99459452011363E-5
833,2.8861281535109496E-4
834,2.0091106702617938E-4
835,2.0329266423270475E-4
836,1.386575306129469E-4
837,1.4480876107224148E-4
838,3.152140009909906E-4
839,1.0175686885488609E-4
840,7.845847878565541E-5
841,1.6511227190457457E-4
842,1.323439843658591E-4
843,1.8740671833555688E-4
844,2.1941863607893836E-4
845,3.49746522230774E-4
846,4.406287353178205E-4
847,2.7834913708528177E-4
848,2.553095644604609E-4
849,2.54494893449259E-4
850,1.6979007828332255E-4
851,3.569948635919088E-4
852,3.39348051229861E-4
853,3.0334343219213996E-4
854,2.662791815710141E-4
855,1.4998390081007965E-4
856,3.1685261085138386E-4
857,1.3380730431815341E-4
858,5.12870201030716E-4
859,3.495261931136008E-4
860,1.880340430750901E-4
861,2.2659506172644894E-4
862,2.045986766518189E-4
863,2.0165893607141506E-4
864,9.614094802659504E-5
865,7.596729002101095E-5
866,2.2901948504722982E-4
867,1.4530345566260192E-4
868,2.779567604260289E-4
869,1.9228999791796268E-4
870,3.789790103694293E-4
871,1.3528683235283892E-4
872,2.822622730225878E-4
873,2.5041893804825336E-4
874,5.599378453354178E-4
875,1.7452667622740457E-4
876,3.0025258550023866E-4
877,1.6585086762921283E-4
878,2.901435036608762E-4
879,4.455348161907542E-4
880,1.9571023783266294E-4
881,7.280985319767418E-4
882,2.1034734476005107E-4
883,1.636446564360635E-4
884,1.99247893843544E-4
885,2.9958251114101954E-4
886,2.2604623058287136E-4
887,1.1715110997301339E-4
888,2.7193917980136657E-4
889,2.0643748324833378E-4
890,1.6838000449161296E-4
891,1.9295308029009743E-4
892,4.116141153084453E-4
893,3.7250274736558975E-4
894,1.48641803669655E-4
895,1.7808851335811266E-4
896,1.8063120678500839E-4
897,1.5333592862841076E-4
898,1.1406784029172512E-4
899,1.1891793383030827E-4
900,1.5321294799357758E-4
901,4.1020515769216805E-4
902,4.349431269026563E-4
903,2.303640171116349E-4
904,2.2089996989051766E-4
905,3.4310189938102246E-4
906,1.1202610481920399E-4
907,1.218622364648708E-4
908,3.1622701401762347E-4
909,3.868880337111718E-4
910,9.074507792279472E-5
911,2.5362404852190046E-4
912,1.133518868830378E-4
913,1.7250338860644055E-4
914,1.340236140878834E-4
915,4.1620556937894813E-4
916,1.8177492721502177E-4
917,1.161471333380048E-4
